timestamp,category,customer_type,unit_price,quantity,total,payment_type,Month_num,Month_name,Year_num,Day,Day_of_Week,Hour,Time_of_Day,customer_type_encoded,payment_type_encoded
2022-03-02 09:51:38,fruit,gold,3.99,2,7.98,e-wallet,3,Mar,2022,2,Wednesday,9,Morning,1,3
2022-03-06 10:33:59,fruit,standard,3.99,1,3.99,e-wallet,3,Mar,2022,6,Sunday,10,Morning,4,3
2022-03-04 17:20:21,fruit,premium,0.19,2,0.38,e-wallet,3,Mar,2022,4,Friday,17,Afternoon,3,3
2022-03-02 17:23:58,fruit,gold,0.19,4,0.76,e-wallet,3,Mar,2022,2,Wednesday,17,Afternoon,1,3
2022-03-05 14:32:43,fruit,basic,4.49,2,8.98,debit card,3,Mar,2022,5,Saturday,14,Afternoon,0,2
2022-03-07 17:59:47,fruit,standard,3.99,4,15.96,cash,3,Mar,2022,7,Monday,17,Afternoon,4,0
2022-03-07 19:36:57,fruit,standard,1.49,4,5.96,e-wallet,3,Mar,2022,7,Monday,19,Evening,4,3
2022-03-07 19:03:20,fruit,basic,3.99,4,15.96,credit card,3,Mar,2022,7,Monday,19,Evening,0,1
2022-03-07 11:34:32,fruit,non-member,3.99,1,3.99,credit card,3,Mar,2022,7,Monday,11,Morning,2,1
2022-03-07 09:20:12,fruit,premium,0.49,3,1.47,e-wallet,3,Mar,2022,7,Monday,9,Morning,3,3
2022-03-06 12:44:29,fruit,standard,4.99,1,4.99,cash,3,Mar,2022,6,Sunday,12,Afternoon,4,0
2022-03-01 14:58:07,fruit,premium,3.99,4,15.96,e-wallet,3,Mar,2022,1,Tuesday,14,Afternoon,3,3
2022-03-05 10:58:21,fruit,premium,4.99,3,14.97,e-wallet,3,Mar,2022,5,Saturday,10,Morning,3,3
2022-03-04 14:41:58,fruit,premium,0.49,4,1.96,e-wallet,3,Mar,2022,4,Friday,14,Afternoon,3,3
2022-03-01 11:20:24,fruit,gold,0.49,1,0.49,cash,3,Mar,2022,1,Tuesday,11,Morning,1,0
2022-03-05 19:15:17,fruit,premium,3.99,4,15.96,e-wallet,3,Mar,2022,5,Saturday,19,Evening,3,3
2022-03-01 19:24:01,fruit,standard,1.49,1,1.49,debit card,3,Mar,2022,1,Tuesday,19,Evening,4,2
2022-03-05 09:44:16,fruit,standard,3.99,3,11.97,e-wallet,3,Mar,2022,5,Saturday,9,Morning,4,3
2022-03-01 13:01:48,fruit,basic,0.49,4,1.96,debit card,3,Mar,2022,1,Tuesday,13,Afternoon,0,2
2022-03-01 12:39:17,fruit,premium,3.99,2,7.98,e-wallet,3,Mar,2022,1,Tuesday,12,Afternoon,3,3
2022-03-07 13:13:28,fruit,gold,4.49,3,13.47,credit card,3,Mar,2022,7,Monday,13,Afternoon,1,1
2022-03-03 10:55:40,fruit,standard,0.19,2,0.38,credit card,3,Mar,2022,3,Thursday,10,Morning,4,1
2022-03-02 15:44:48,fruit,non-member,3.99,1,3.99,cash,3,Mar,2022,2,Wednesday,15,Afternoon,2,0
2022-03-05 09:55:11,fruit,basic,0.49,4,1.96,e-wallet,3,Mar,2022,5,Saturday,9,Morning,0,3
2022-03-06 16:58:28,fruit,standard,0.19,4,0.76,debit card,3,Mar,2022,6,Sunday,16,Afternoon,4,2
2022-03-06 15:46:09,fruit,non-member,3.99,2,7.98,e-wallet,3,Mar,2022,6,Sunday,15,Afternoon,2,3
2022-03-07 11:15:03,fruit,premium,4.49,4,17.96,credit card,3,Mar,2022,7,Monday,11,Morning,3,1
2022-03-01 17:45:25,fruit,premium,4.99,2,9.98,e-wallet,3,Mar,2022,1,Tuesday,17,Afternoon,3,3
2022-03-07 09:04:02,fruit,gold,0.19,2,0.38,credit card,3,Mar,2022,7,Monday,9,Morning,1,1
2022-03-02 14:44:45,fruit,standard,4.99,3,14.97,debit card,3,Mar,2022,2,Wednesday,14,Afternoon,4,2
2022-03-03 09:43:20,fruit,premium,0.19,1,0.19,cash,3,Mar,2022,3,Thursday,9,Morning,3,0
2022-03-02 16:01:34,fruit,basic,0.19,3,0.5700000000000001,cash,3,Mar,2022,2,Wednesday,16,Afternoon,0,0
2022-03-07 09:07:36,fruit,standard,3.99,4,15.96,credit card,3,Mar,2022,7,Monday,9,Morning,4,1
2022-03-02 11:24:20,fruit,standard,0.49,4,1.96,credit card,3,Mar,2022,2,Wednesday,11,Morning,4,1
2022-03-02 12:09:29,fruit,basic,3.99,4,15.96,e-wallet,3,Mar,2022,2,Wednesday,12,Afternoon,0,3
2022-03-04 09:58:50,fruit,gold,0.19,2,0.38,credit card,3,Mar,2022,4,Friday,9,Morning,1,1
2022-03-02 13:40:25,fruit,standard,3.99,2,7.98,debit card,3,Mar,2022,2,Wednesday,13,Afternoon,4,2
2022-03-02 19:31:04,fruit,standard,0.19,1,0.19,e-wallet,3,Mar,2022,2,Wednesday,19,Evening,4,3
2022-03-01 10:17:21,fruit,standard,0.19,2,0.38,e-wallet,3,Mar,2022,1,Tuesday,10,Morning,4,3
2022-03-03 19:57:18,fruit,non-member,0.49,3,1.47,e-wallet,3,Mar,2022,3,Thursday,19,Evening,2,3
2022-03-05 14:47:09,fruit,basic,4.49,4,17.96,debit card,3,Mar,2022,5,Saturday,14,Afternoon,0,2
2022-03-04 13:52:53,fruit,non-member,0.19,2,0.38,credit card,3,Mar,2022,4,Friday,13,Afternoon,2,1
2022-03-06 10:57:24,fruit,basic,4.99,2,9.98,e-wallet,3,Mar,2022,6,Sunday,10,Morning,0,3
2022-03-05 17:27:57,fruit,non-member,3.99,1,3.99,debit card,3,Mar,2022,5,Saturday,17,Afternoon,2,2
2022-03-03 13:18:22,fruit,gold,3.99,1,3.99,credit card,3,Mar,2022,3,Thursday,13,Afternoon,1,1
2022-03-06 09:21:59,fruit,non-member,0.19,1,0.19,cash,3,Mar,2022,6,Sunday,9,Morning,2,0
2022-03-01 14:21:22,fruit,gold,3.99,3,11.97,e-wallet,3,Mar,2022,1,Tuesday,14,Afternoon,1,3
2022-03-01 14:24:11,fruit,gold,0.49,4,1.96,e-wallet,3,Mar,2022,1,Tuesday,14,Afternoon,1,3
2022-03-04 14:04:42,fruit,standard,1.49,1,1.49,e-wallet,3,Mar,2022,4,Friday,14,Afternoon,4,3
2022-03-01 09:26:22,fruit,gold,1.49,3,4.47,cash,3,Mar,2022,1,Tuesday,9,Morning,1,0
2022-03-06 17:16:21,fruit,standard,0.19,1,0.19,debit card,3,Mar,2022,6,Sunday,17,Afternoon,4,2
2022-03-05 13:46:37,fruit,non-member,1.49,2,2.98,cash,3,Mar,2022,5,Saturday,13,Afternoon,2,0
2022-03-03 14:49:23,fruit,basic,4.99,4,19.96,e-wallet,3,Mar,2022,3,Thursday,14,Afternoon,0,3
2022-03-05 19:41:13,fruit,gold,3.99,1,3.99,credit card,3,Mar,2022,5,Saturday,19,Evening,1,1
2022-03-03 16:45:45,fruit,premium,4.49,1,4.49,credit card,3,Mar,2022,3,Thursday,16,Afternoon,3,1
2022-03-03 15:26:24,fruit,premium,0.49,2,0.98,credit card,3,Mar,2022,3,Thursday,15,Afternoon,3,1
2022-03-07 13:12:50,fruit,basic,0.19,1,0.19,credit card,3,Mar,2022,7,Monday,13,Afternoon,0,1
2022-03-02 13:12:12,fruit,non-member,0.49,1,0.49,credit card,3,Mar,2022,2,Wednesday,13,Afternoon,2,1
2022-03-05 13:24:59,fruit,standard,0.19,4,0.76,debit card,3,Mar,2022,5,Saturday,13,Afternoon,4,2
2022-03-03 12:03:39,fruit,premium,4.49,1,4.49,e-wallet,3,Mar,2022,3,Thursday,12,Afternoon,3,3
2022-03-06 16:07:16,fruit,gold,0.19,2,0.38,debit card,3,Mar,2022,6,Sunday,16,Afternoon,1,2
2022-03-07 19:31:14,fruit,standard,1.49,4,5.96,debit card,3,Mar,2022,7,Monday,19,Evening,4,2
2022-03-04 18:05:53,fruit,non-member,0.49,4,1.96,debit card,3,Mar,2022,4,Friday,18,Evening,2,2
2022-03-04 14:15:19,fruit,gold,3.99,2,7.98,cash,3,Mar,2022,4,Friday,14,Afternoon,1,0
2022-03-03 11:28:50,fruit,gold,0.49,1,0.49,cash,3,Mar,2022,3,Thursday,11,Morning,1,0
2022-03-02 13:59:11,fruit,non-member,1.49,1,1.49,debit card,3,Mar,2022,2,Wednesday,13,Afternoon,2,2
2022-03-06 18:55:31,fruit,standard,4.99,3,14.97,credit card,3,Mar,2022,6,Sunday,18,Evening,4,1
2022-03-02 17:26:12,fruit,premium,0.49,3,1.47,e-wallet,3,Mar,2022,2,Wednesday,17,Afternoon,3,3
2022-03-03 16:03:14,fruit,non-member,0.49,4,1.96,e-wallet,3,Mar,2022,3,Thursday,16,Afternoon,2,3
2022-03-06 10:33:57,fruit,premium,3.99,1,3.99,cash,3,Mar,2022,6,Sunday,10,Morning,3,0
2022-03-06 16:50:41,fruit,non-member,4.49,1,4.49,e-wallet,3,Mar,2022,6,Sunday,16,Afternoon,2,3
2022-03-06 16:25:43,fruit,premium,0.19,2,0.38,credit card,3,Mar,2022,6,Sunday,16,Afternoon,3,1
2022-03-01 16:59:03,fruit,gold,4.49,3,13.47,debit card,3,Mar,2022,1,Tuesday,16,Afternoon,1,2
2022-03-01 19:39:36,fruit,standard,0.49,2,0.98,cash,3,Mar,2022,1,Tuesday,19,Evening,4,0
2022-03-05 19:31:05,fruit,gold,3.99,2,7.98,e-wallet,3,Mar,2022,5,Saturday,19,Evening,1,3
2022-03-07 14:40:14,fruit,basic,0.49,4,1.96,cash,3,Mar,2022,7,Monday,14,Afternoon,0,0
2022-03-07 12:53:13,fruit,standard,0.19,1,0.19,cash,3,Mar,2022,7,Monday,12,Afternoon,4,0
2022-03-02 09:46:47,fruit,premium,3.99,3,11.97,credit card,3,Mar,2022,2,Wednesday,9,Morning,3,1
2022-03-02 13:57:36,fruit,standard,0.49,4,1.96,e-wallet,3,Mar,2022,2,Wednesday,13,Afternoon,4,3
2022-03-03 15:53:13,fruit,basic,1.49,3,4.47,e-wallet,3,Mar,2022,3,Thursday,15,Afternoon,0,3
2022-03-04 16:43:08,fruit,gold,0.19,2,0.38,cash,3,Mar,2022,4,Friday,16,Afternoon,1,0
2022-03-06 13:34:10,fruit,gold,0.19,3,0.5700000000000001,cash,3,Mar,2022,6,Sunday,13,Afternoon,1,0
2022-03-07 10:45:47,fruit,gold,0.19,4,0.76,credit card,3,Mar,2022,7,Monday,10,Morning,1,1
2022-03-06 15:31:04,fruit,premium,3.99,1,3.99,credit card,3,Mar,2022,6,Sunday,15,Afternoon,3,1
2022-03-05 16:44:49,fruit,premium,1.49,1,1.49,credit card,3,Mar,2022,5,Saturday,16,Afternoon,3,1
2022-03-05 12:14:08,fruit,standard,0.19,4,0.76,debit card,3,Mar,2022,5,Saturday,12,Afternoon,4,2
2022-03-07 13:46:51,fruit,gold,4.49,4,17.96,e-wallet,3,Mar,2022,7,Monday,13,Afternoon,1,3
2022-03-05 17:38:51,fruit,basic,3.99,1,3.99,credit card,3,Mar,2022,5,Saturday,17,Afternoon,0,1
2022-03-02 16:15:14,fruit,standard,4.99,3,14.97,e-wallet,3,Mar,2022,2,Wednesday,16,Afternoon,4,3
2022-03-04 16:47:28,fruit,non-member,4.99,1,4.99,credit card,3,Mar,2022,4,Friday,16,Afternoon,2,1
2022-03-07 12:52:02,fruit,premium,3.99,1,3.99,credit card,3,Mar,2022,7,Monday,12,Afternoon,3,1
